College,Status,Team,Experience,LastName,FirstName,Number,PlayerId,Position
Maryland,Retired, ,3 Seasons,"Scarbath, Jack", ,jackscarbath/2524989,
Tennessee State,Retired, ,4 Seasons,"Kindle, Greg", ,gregkindle/2518471,
Mississippi State,Active,Pittsburgh Steelers,Rookie,"Adams, Nelson", ,nelsonadams/2559130,DT
Virginia,Retired, ,1 Season,"Taylor, Greg", ,gregtaylor/2527085,
Washington State,Retired, ,7 Seasons,"Frampton, Eric", ,ericframpton/2495605,
Texas A&M,Retired, ,8 Seasons,"Malone, Chuck", ,chuckmalone/2520035,
South Florida,Active,Minnesota Vikings,Rookie,"Adams, Rodney", ,rodneyadams/2558047,WR
Kentucky,Retired, ,12 Seasons,"Gain, Bob", ,bobgain/2514537,
Nebraska,Retired, ,6 Seasons,"Davis, Tony", ,tonydavis/2512597,
LSU,Unsigned free agent,Oakland Raiders,8th season,"Riley, Perry",54,perryriley/496949,MLB
West Georgia,Active,Oakland Raiders,2nd season,"Adams, Tyrell",58,tyrelladams/2553898,LB
Central Michigan,Active,Los Angeles Chargers,5th season,"Addae, Jahleel",37,jahleeladdae/2541958,SS
Central Florida,Retired, ,3 Seasons,"Carrington, Paul", ,paulcarrington/2506618,
UCLA,Retired, ,9 Seasons,"Maddox, Tommy", ,tommymaddox/2501842,
Georgia Southern,Retired, ,3 Seasons,"Eubanks, Darius", ,dariuseubanks/2541703,
Virginia Tech,Retired, ,0 Season,"Lewis, Kevin", ,kevinlewis/2519456,
Washington,Retired, ,3 Seasons,"Johnson, Derrick", ,derrickjohnson/2506538,
Michigan State,Retired, ,1 Season,"Fontes, Wayne", ,waynefontes/2514211,
Southern Methodist,Retired, ,13 Seasons,"Ball, Jerry", ,jerryball/2499510,
Syracuse,Retired, ,1 Season,"Dees, Andre", ,andredees/2500357,
Wake Forest,Retired, ,1 Season,"Ghee, Patrick", ,patrickghee/2507062,
Temple,Retired, ,1 Season,"Johnson, Lorne", ,lornejohnson/2517709,
No College,Retired, ,1 Season,"Scaccia, Fabrizio", ,fabrizioscaccia/2508100,
Florida,Retired, ,5 Seasons,"Dixon, Cal", ,caldixon/2500408,
West Virginia,Retired, ,3 Seasons,"Davis, Jason", ,jasondavis/2505404,
Wisconsin,Retired, ,1 Season,"Calligaro, Len", ,lencalligaro/2510942,
Miami (Fla.),Retired, ,1 Season,"Maxey, Marcus", ,marcusmaxey/2495899,
Northwestern,Retired, ,4 Seasons,"Zorich, George", ,georgezorich/2529686,
No College,Retired, ,2 Seasons,"Lanham, Charlie", ,charlielanham/2519066,
Missouri,Retired, ,0 Season,"Ekwerekwu, Brad", ,bradekwerekwu/2507143,
Texas,Retired, ,1 Season,"Kelley, Ed", ,edkelley/2518265,
Notre Dame,Retired, ,1 Season,"Leahy, Bernie", ,bernieleahy/2519215,
Iowa State,Retired, ,3 Seasons,"Carstens, Jordan", ,jordancarstens/2505752,
Troy,Active,Carolina Panthers,7th season,"Addison, Mario",97,marioaddison/2530474,DE
Youngstown State,Retired, ,3 Seasons,"Mady, Lamar", ,lamarmady/2539642,
Nebraska,Retired, ,1 Season,"Wenke, Ad", ,adwenke/2528532,
Georgia Tech,Retired, ,1 Season,"Taylor, Jim Bob", ,jimbobtaylor/2527093,
Montana,Retired, ,2 Seasons,"Neil, Dallas", ,dallasneil/2503962,
San Diego State,Retired, ,3 Seasons,"Reynolds, Tom", ,tomreynolds/2524014,
Louisiana-Lafayette,Retired, ,7 Seasons,"Thomas, Orlando", ,orlandothomas/2503317,
Boise State,Retired, ,2 Seasons,"Young, Titus", ,titusyoung/2495253,
Minnesota,Retired, ,1 Season,"Capron, Ralph", ,ralphcapron/2511043,
Purdue,Retired, ,5 Seasons,"Gardner, Gilbert", ,gilbertgardner/2506038,
San Diego State,Retired, ,1 Season,"Martin, Larry", ,larrymartin/2520254,
Virginia Tech,Retired, ,1 Season,"Hagood, Jay", ,jayhagood/2500955,
Mississippi,Active,Baltimore Ravens,Rookie,"Adeboyejo, Quincy", ,quincyadeboyejo/2558906,WR
Tuskegee,Retired, ,1 Season,"May, Art", ,artmay/2520410,
Tennessee State,Retired, ,2 Seasons,"Johnson, Lee", ,leejohnson/2517703,
Abilene Christian,Retired, ,2 Seasons,"Feasel, Greg", ,gregfeasel/2513891,
Duke,Retired, ,3 Seasons,"Farmer, Ray", ,rayfarmer/2500590,
North Carolina State,Retired, ,0 Season,"Hall, Tramain", ,tramainhall/2506645,
Northeastern,Retired, ,1 Season,"Sandham, Todd", ,toddsandham/2524884,
Indiana,Retired, ,2 Seasons,"Kirlew, Jammie", ,jammiekirlew/496806,
Notre Dame,Retired, ,6 Seasons,"Eilers, Pat", ,pateilers/2500523,
Bowling Green State,Active,Tampa Bay Buccaneers,3rd season,"Adjei-Barimah, Jude",38,judeadjei-barimah/2554332,CB
Miami (Fla.),Retired, ,5 Seasons,"Johnson, Jack", ,jackjohnson/2517656,
Los Angeles State,Retired, ,2 Seasons,"Anderson, Ralph", ,ralphanderson/2508517,
South Carolina,Retired, ,6 Seasons,"Geathers, Clifton", ,cliftongeathers/496784,
Grambling State,Retired, ,2 Seasons,"Banks, Jason", ,jasonbanks/2507366,
Florida State,Retired, ,0 Season,"Garvin, Michael Ray", ,michaelraygarvin/2507674,
Minnesota,Retired, ,1 Season,"Perko, John", ,johnperko/2523024,
Michigan,Retired, ,4 Seasons,"Teeter, Mike", ,miketeeter/2503272,
Tennessee,Retired, ,1 Season,"Hall, Jeff", ,jeffhall/2500970,
Kentucky,Retired, ,9 Seasons,"Talamini, Bob", ,bobtalamini/2526988,
New Mexico State,Retired, ,2 Seasons,"Wallace, Davonte", ,davontewallace/2550510,
Washington,Retired, ,1 Season,"Erlandson, Tom Jr.", ,tomerlandsonjr./2513689,
USC,Active,Philadelphia Eagles,3rd season,"Agholor, Nelson",17,nelsonagholor/2552600,WR
Wyoming,Retired, ,1 Season,"Marion, Jerry", ,jerrymarion/2520149,
Northwestern,Retired, ,1 Season,"McCambridge, John", ,johnmccambridge/2520509,
St. Vincent,Retired, ,3 Seasons,"Manzini, Bap", ,bapmanzini/2520102,
San Diego,Active,Detroit Lions,Rookie,"Agnew, Jamal", ,jamalagnew/2558821,CB
Florida State,Active,Tampa Bay Buccaneers,2nd season,"Aguayo, Roberto",19,robertoaguayo/2555408,K
Hawaii,Retired, ,1 Season,"Daley, Brenden", ,brendendaley/2550190,
Notre Dame,Retired, ,7 Seasons,"Carlson, John", ,johncarlson/1966,
Rutgers,Active,Arizona Cardinals,Rookie,"Agudosi, Carlton", ,carltonagudosi/2559131,WR
Texas Christian,Retired, ,1 Season,"Talley, Stan", ,stantalley/2527002,
Central Florida,Active,Indianapolis Colts,5th season,"Aiken, Kamar", ,kamaraiken/2530660,WR
Wisconsin,Retired, ,10 Seasons,"Chambers, Chris", ,chrischambers/2504695,
Baylor,Retired, ,4 Seasons,"Allred, Colin", ,colinallred/2506654,
Emporia State,Retired, ,11 Seasons,"Lett, Leon", ,leonlett/2501733,
LSU,Retired, ,3 Seasons,"James, Garry", ,garryjames/2517372,
Yale,Retired, ,1 Season,"Caldwell, Bruce", ,brucecaldwell/2510914,
Liberty,Active,Miami Dolphins,4th season,"Aikens, Walt",35,waltaikens/2543724,FS
New Mexico,Retired, ,13 Seasons,"Agajanian, Ben", ,benagajanian/2508255,
Boise State,Active,Miami Dolphins,3rd season,"Ajayi, Jay",23,jayajayi/2552582,RB
Troy,Retired, ,1 Season,"Reed, Rayshun", ,rayshunreed/2505722,
Virginia,Active,Jacksonville Jaguars,10th season,"Albert, Branden", ,brandenalbert/660,OT
Michigan,Retired, ,3 Seasons,"Newman, Harry", ,harrynewman/2522100,
Miami (Ohio),Active,Cincinnati Bengals,1st season,"Albright, Bryson", ,brysonalbright/2556458,LB
Oregon State,Active,Kansas City Chiefs,3rd season,"Alexander, D.J.",57,d.j.alexander/2553442,ILB
Fresno State,Retired, ,6 Seasons,"Glazebrook, Bob", ,bobglazebrook/2514951,
Alabama,Retired, ,2 Seasons,"Barker, Jay", ,jaybarker/2499535,
Delta State,Retired, ,1 Season,"Castile, L.J.", ,l.j.castile/2531034,
Nevada-Las Vegas,Retired, ,5 Seasons,"Estandia, Greg", ,gregestandia/2506635,
Southern University,Retired, ,4 Seasons,"Farmer, George", ,georgefarmer/2513837,
Northwestern,Retired, ,1 Season,"Wells, Norm", ,normwells/2528513,
Elon,Retired, ,1 Season,"Jeffcoat, Sean", ,seanjeffcoat/2531045,
Marshall,Retired, ,3 Seasons,"Watts, Darius", ,dariuswatts/2505950,
Miami (Ohio),Retired, ,4 Seasons,"Armour, JoJuan", ,jojuanarmour/2499450,
Colorado State,Retired, ,2 Seasons,"Newell, Mike", ,mikenewell/2502284,
Oklahoma,Active,Cleveland Browns,2nd season,"Alexander, Dominique",54,dominiquealexander/2556843,ILB
Nebraska,Retired, ,17 Seasons,"Tingelhoff, Mick", ,micktingelhoff/2527445,
Princeton,Retired, ,6 Seasons,"Gogolak, Charlie", ,charliegogolak/2514998,
Iowa,Retired, ,2 Seasons,"Yamini, Bashir", ,bashiryamini/2503932,
Maryland,Retired, ,6 Seasons,"Scotti, Ben", ,benscotti/2525235,
Ohio State,Retired, ,3 Seasons,"Dellerba, Spiro", ,spirodellerba/2512752,
LSU,Active,Tampa Bay Buccaneers,3rd season,"Alexander, Kwon",58,kwonalexander/2552592,MLB
LSU,Retired, ,9 Seasons,"Walker, Denard", ,denardwalker/2503503,
California,Active,Buffalo Bills,11th season,"Alexander, Lorenzo",57,lorenzoalexander/2506268,OLB
Florida State,Retired, ,4 Seasons,"Reid, Willie", ,williereid/2495933,
LSU,Retired, ,8 Seasons,"Daniels, Travis", ,travisdaniels/2506442,
California,Retired, ,1 Season,"Frantz, Jack", ,jackfrantz/2514386,
California,Retired, ,1 Season,"Beck, Matt", ,mattbeck/2504329,
West Texas A&M,Retired, ,5 Seasons,"Petrich, Bob", ,bobpetrich/2523115,
Stanford,Retired, ,8 Seasons,"Dalman, Chris", ,chrisdalman/2500274,
Clemson,Active,Minnesota Vikings,2nd season,"Alexander, Mackensie",20,mackensiealexander/2555177,CB
Florida,Retired, ,10 Seasons,"Davis, Andra", ,andradavis/2505126,
Southern Methodist,Retired, ,4 Seasons,"Harrison, Kenny", ,kennyharrison/2516009,
The Citadel,Retired, ,11 Seasons,"Maguire, Paul", ,paulmaguire/2519977,
Notre Dame,Retired, ,2 Seasons,"O'Leary, Dan", ,dano'leary/2504584,
Arizona State,Retired, ,4 Seasons,"Carpenter, Rudy", ,rudycarpenter/81280,
Ohio State,Retired, ,6 Seasons,"Richardson, Jay", ,jayrichardson/2495719,
Louisiana Tech,Retired, ,10 Seasons,"Barber, Mike", ,mikebarber/2508982,
Ohio State,Retired, ,2 Seasons,"Sarringhaus, Paul", ,paulsarringhaus/2524927,
Utah State,Active,Los Angeles Rams,4th season,"Alexander, Maurice",31,mauricealexander/2550145,FS
Miami (Fla.),Retired, ,1 Season,"Payton, Jarrett", ,jarrettpayton/2505711,
Brigham Young,Retired, ,11 Seasons,"Oates, Bart", ,bartoates/2502333,
Penn State,Retired, ,2 Seasons,"Bannon, Bruce", ,brucebannon/2508969,
Houston,Retired, ,8 Seasons,"Aldridge, Allen", ,allenaldridge/2499377,
Northern Iowa,Retired, ,1 Season,"Harris, Steve", ,steveharris/2515987,
Rutgers,Retired, ,2 Seasons,"Barbieri, Howard", ,howardbarbieri/2530662,
South Dakota State,Retired, ,12 Seasons,"Langer, Jim", ,jimlanger/2519060,
Penn State,Retired, ,1 Season,"Zemaitis, Alan", ,alanzemaitis/2506924,
San Francisco,Retired, ,8 Seasons,"Letlow, Russ", ,russletlow/2519381,
LSU,Active,Oakland Raiders,2nd season,"Alexander, Vadal",74,vadalalexander/2555146,OT
Mississippi,Retired, ,9 Seasons,"Kinard, Bruiser", ,bruiserkinard/2518462,
Colorado,Retired, ,2 Seasons,"Wahlroos, Drew", ,drewwahlroos/2505283,
Tennessee,Retired, ,2 Seasons,"Webb, Chuck", ,chuckwebb/2503577,
Wisconsin,Retired, ,2 Seasons,"Pillath, Roger", ,rogerpillath/2523246,
Nebraska,Retired, ,0 Season,"Amos, Willie", ,willieamos/2508443,
North Carolina State,Retired, ,2 Seasons,"Harrison, Todd", ,toddharrison/2501065,
Wagner,Retired, ,5 Seasons,"Kotite, Rich", ,richkotite/2518761,
