College,Status,Team,Experience,LastName,FirstName,Number,PlayerId,Position
Michigan,Retired, ,9 Seasons,"Mandich, Jim", ,jimmandich/2520052,
USC,Retired, ,7 Seasons,"Cadigan, Dave", ,davecadigan/2499960,
Penn State,Retired, ,6 Seasons,"Thomas, Blair", ,blairthomas/2503293,
Virginia,Retired, ,16 Seasons,"Barber, Ronde", ,rondebarber/2499530,
Idaho,Retired, ,1 Season,"Parker, Steve", ,steveparker/2522763,
Baylor,Active,New York Jets,Rookie,"Cannon, KD", ,kdcannon/2558927,WR
Georgia Tech,Retired, ,7 Seasons,"Whisenhunt, Ken", ,kenwhisenhunt/2503611,
Missouri,Retired, ,15 Seasons,"Washington, Russ", ,russwashington/2528310,
Notre Dame,Retired, ,6 Seasons,"Ostrowski, Chet", ,chetostrowski/2522581,
Missouri,Retired, ,2 Seasons,"Nash, Damien", ,damiennash/2506479,
Georgetown,Retired, ,2 Seasons,"Gormley, Tom", ,tomgormley/2515107,
West Virginia Tech,Retired, ,1 Season,"Wallace, Calvin", ,calvinwallace/2528138,
Missouri,Retired, ,14 Seasons,"Wehrli, Roger", ,rogerwehrli/2528458,
Arkansas,Retired, ,7 Seasons,"Lindsey, Jim", ,jimlindsey/2519533,
Clemson,Retired, ,2 Seasons,"Dantzler, Woody", ,woodydantzler/2504942,
Texas Christian,Active,New England Patriots,7th season,"Cannon, Marcus",61,marcuscannon/2495131,OT
Temple,Retired, ,0 Season,"Seifert, Elliot", ,elliotseifert/2525295,
Akron,Active,Arizona Cardinals,1st season,"Capi, Cap", ,capcapi/2553870,DE
Michigan State,Retired, ,11 Seasons,"Peterson, Julian", ,julianpeterson/2504300,
Colorado State,Retired, ,8 Seasons,"Christiansen, Jack", ,jackchristiansen/2511465,
Texas Christian,Active,Cleveland Browns,6th season,"Carder, Tank",59,tankcarder/2533029,ILB
Michigan Tech,Retired, ,0 Season,"Vanderlin, Drew", ,drewvanderlin/2539737,
Georgia,Retired, ,8 Seasons,"Tinsley, Pete", ,petetinsley/2527448,
Navy,Active,New England Patriots,3rd season,"Cardona, Joe",49,joecardona/2552701,LS
Norfolk State,Active,Detroit Lions,9th season,"Carey, Don",26,doncarey/2507793,SS
Arizona,Active,Chicago Bears,4th season,"Carey, Ka'Deem",25,ka'deemcarey/2543551,RB
Alabama,Active,New York Jets,7th season,"Carpenter, James",77,jamescarpenter/2495134,G
Buffalo,Unsigned free agent,Dallas Cowboys,7th season,"Thomas, Josh",26,joshthomas/2508121,DB
Northwestern,Active,New England Patriots,Rookie,"Carr, Austin",84,austincarr/2558928,WR
Pittsburgh,Retired, ,4 Seasons,"Neill, Bill", ,billneill/2522001,
Michigan,Retired, ,1 Season,"Mason, Grant", ,grantmason/2506820,
Detroit Mercy,Retired, ,3 Seasons,"Keene, Bob", ,bobkeene/2518226,
,Retired, ,,"Gorman, Doc", ,docgorman/2515106,
Clemson,Retired, ,0 Season,"Hall, Ben", ,benhall/2515616,
Texas State,Retired, ,2 Seasons,"Darby, Paul", ,pauldarby/2512460,
Chicago,Retired, ,1 Season,"Leatherman, Paul", ,paulleatherman/2519225,
Grand Valley State,Active,Baltimore Ravens,10th season,"Carr, Brandon", ,brandoncarr/4365,DB
Missouri Western State,Retired, ,1 Season,"Fisher, John", ,johnfisher/2500640,
Purdue,Retired, ,4 Seasons,"Odom, Joe", ,joeodom/2505441,
Fresno State,Active,Oakland Raiders,4th season,"Carr, Derek",4,derekcarr/2543499,QB
Fresno State,Retired, ,11 Seasons,"Mankins, Logan", ,loganmankins/2506371,
North Carolina State,Retired, ,7 Seasons,"McCargo, John", ,johnmccargo/2506886,
Miami (Fla.),Retired, ,1 Season,"Walters, Matt", ,mattwalters/2505528,
St. John's (N.Y.),Retired, ,5 Seasons,"Thomas, Rex", ,rexthomas/2527284,
Florida State,Active,San Francisco 49ers,5th season,"Carradine, Tank",95,tankcarradine/2539224,LB
Washington,Retired, ,2 Seasons,"Baldassin, Mike", ,mikebaldassin/2508906,
Evansville,Retired, ,3 Seasons,"Bawel, Bibbles", ,bibblesbawel/2509202,
Illinois,Retired, ,10 Seasons,"Walquist, Laurie", ,lauriewalquist/2528169,
Nebraska,Retired, ,1 Season,"Etienne, LeRoy", ,leroyetienne/2513723,
Penn State,Unsigned free agent,New Orleans Saints,5th season,"Mauti, Michael",56,michaelmauti/2539294,OLB
Texas Christian,Active,Tennessee Titans,Rookie,"Carraway, Josh", ,joshcarraway/2557883,OLB
No College,Retired, ,2 Seasons,"Demmy, John", ,johndemmy/2512776,
California,Retired, ,9 Seasons,"Walker, Langston", ,langstonwalker/2505051,
Michigan State,Retired, ,10 Seasons,"Webster, George", ,georgewebster/2528436,
Notre Dame,Retired, ,7 Seasons,"Zorich, Chris", ,chriszorich/2503864,
Colorado,Active,Dallas Cowboys,Rookie,"Carrell, Jordan", ,jordancarrell/2558862,DT
Colorado State,Retired, ,13 Seasons,"Baker, Al", ,albaker/2508873,
Florida,Retired, ,4 Seasons,"Dempsey, Frank", ,frankdempsey/2512781,
Arizona,Retired, ,1 Season,"Harris, Gilbert", ,gilbertharris/2495848,
Miami (Ohio),Retired, ,9 Seasons,"Babich, Bob", ,bobbabich/2508794,
Arkansas State,Active,Los Angeles Chargers,4th season,"Carrethers, Ryan", ,ryancarrethers/2543554,NT
Notre Dame,Retired, ,4 Seasons,"Petitbon, Johnny", ,johnnypetitbon/2523108,
Indiana (PA),Retired, ,1 Season,"Angelo, Jim", ,jimangelo/2508574,
Arizona State,Retired, ,3 Seasons,"Kern, Don", ,donkern/2518365,
Miami (Fla.),Retired, ,1 Season,"Werl, Bob", ,bobwerl/2528540,
Ohio U.,Active,Oakland Raiders,4th season,"Carrie, T.J.",38,t.j.carrie/2550164,SS
Beloit,Active,Washington Redskins,5th season,"Carrier, Derek", ,derekcarrier/2534241,TE
Stanford,Retired, ,1 Season,"Paye, John", ,johnpaye/2522896,
Maryland,Active,Dallas Cowboys,8th season,"Carroll, Nolan", ,nolancarroll/494254,DB
Stephen F. Austin St.,Retired, ,3 Seasons,"Neff, Bob", ,bobneff/2521992,
Purdue,Retired, ,4 Seasons,"Oehler, Cap", ,capoehler/2522400,
Washington & Jefferson,Retired, ,1 Season,"Wesbecher, Al", ,alwesbecher/2528548,
Washington,Retired, ,5 Seasons,"Werner, Clyde", ,clydewerner/2528541,
Washington,Retired, ,2 Seasons,"Jensen, Jerry", ,jerryjensen/2501395,
Rutgers,Active,Miami Dolphins,2nd season,"Carroo, Leonte",88,leontecarroo/2555215,WR
Oregon,Retired, ,12 Seasons,"Zimmerman, Gary", ,garyzimmerman/2503860,
Texas A&M - Kingsville,Retired, ,1 Season,"Lincoln, Ryan", ,ryanlincoln/2531171,
Oklahoma State,Active,Seattle Seahawks,Rookie,"Carson, Chris", ,chriscarson/2558865,RB
Nebraska,Retired, ,5 Seasons,"Phillips, Ray", ,rayphillips/2523183,
Tennessee Tech,Retired, ,8 Seasons,"Omiyale, Frank", ,frankomiyale/2506498,
Tennessee-Martin,Retired, ,12 Seasons,"Thomas, Fred", ,fredthomas/2503304,
Texas A&M,Active,Cincinnati Bengals,1st season,"Carson, Tra",39,tracarson/2556493,RB
Maryland,Retired, ,1 Season,"Davis, Jack", ,jackdavis/2512580,
Colorado,Retired, ,9 Seasons,"Johnson, Charles", ,charlesjohnson/2501412,
Jackson State,Retired, ,9 Seasons,"Richardson, Willie", ,willierichardson/2524125,
Arizona State,Retired, ,2 Seasons,"Magee, Brandon", ,brandonmagee/2539198,
Pittsburgh,Retired, ,4 Seasons,"Palatella, Lou", ,loupalatella/2522670,
Tarkio,Retired, ,8 Seasons,"Reynolds, Al", ,alreynolds/2523998,
California,Retired, ,15 Seasons,"Wersching, Ray", ,raywersching/2528545,
William & Mary,Retired, ,8 Seasons,"Kelso, Mark", ,markkelso/2501588,
Troy,Retired, ,2 Seasons,"Banks, Gary", ,garybanks/2507421,
Texas Tech,Retired, ,1 Season,"Leong, Lyle", ,lyleleong/2530971,
Missouri,Retired, ,0 Season,"Ville, Zack", ,zackville/2527972,
Florida State,Unsigned free agent,Tampa Bay Buccaneers,8th season,"Smith, Antone",30,antonesmith/89798,RB
Butler,Retired, ,1 Season,"Reichel, Lou", ,loureichel/2523920,
Hofstra,Retired, ,2 Seasons,"Carmazzi, Giovanni", ,giovannicarmazzi/2504269,
Saginaw Valley State,Retired, ,3 Seasons,"Callaway, Rob", ,robcallaway/2507892,
Pittsburgh,Retired, ,1 Season,"Cassiano, Dick", ,dickcassiano/2511260,
Marquette,Retired, ,3 Seasons,"Maceau, Mel", ,melmaceau/2519899,
UCLA,Retired, ,3 Seasons,"Fletcher, Bryan", ,bryanfletcher/2505183,
Iowa,Retired, ,1 Season,"Lewis, Mac", ,maclewis/2519420,
Tennessee,Retired, ,1 Season,"Majors, Bobby", ,bobbymajors/2520007,
Fort Valley State,Retired, ,0 Season,"Jacas, Andrew", ,andrewjacas/2517219,
Ohio State,Unsigned free agent,New York Jets,12th season,"Mangold, Nick",74,nickmangold/2495891,C
Boise State,Retired, ,5 Seasons,"Pettis, Austin", ,austinpettis/2495212,
Miami (Fla.),Retired, ,4 Seasons,"Diamond, Charley", ,charleydiamond/2512882,
Grambling State,Retired, ,12 Seasons,"Taylor, Rosey", ,roseytaylor/2527114,
Bowie State,Retired, ,2 Seasons,"Jackson, Victor", ,victorjackson/2517327,
Georgia,Retired, ,14 Seasons,"Ward, Hines", ,hinesward/2503532,
Hawaii,Retired, ,1 Season,"Nua, Mark", ,marknua/2502316,
Vanderbilt,Retired, ,12 Seasons,"Arnold, Jim", ,jimarnold/2499459,
Texas A&M,Retired, ,2 Seasons,"Taylor, Jamaar", ,jamaartaylor/2505887,
Michigan,Retired, ,7 Seasons,"Marsh, Doug", ,dougmarsh/2520187,
South Carolina State,Retired, ,4 Seasons,"Parker, Ervin", ,ervinparker/2522737,
Texas Tech,Retired, ,5 Seasons,"McBath, Darcel", ,darcelmcbath/71391,
California,Retired, ,1 Season,"Gardner, Derrick", ,derrickgardner/2514620,
Stanford,Active,Detroit Lions,1st season,"Carter, Alex",33,alexcarter/2552587,CB
North Carolina,Retired, ,5 Seasons,"Balmer, Kentwan", ,kentwanbalmer/188,
North Carolina,Active,New York Jets,7th season,"Carter, Bruce",54,brucecarter/2495136,OLB
Nevada-Las Vegas,Retired, ,4 Seasons,"Tevaseu, Martin", ,martintevaseu/2508033,
Oregon State,Retired, ,7 Seasons,"Marsh, Amos", ,amosmarsh/2520185,
Miami (Fla.),Retired, ,2 Seasons,"Fortner, Larry", ,larryfortner/2514263,
Texas,Retired, ,2 Seasons,"Parker, Joe", ,joeparker/2522745,
Texas Southern,Retired, ,16 Seasons,"Adams, Julius", ,juliusadams/2508215,
Idaho,Retired, ,10 Seasons,"Scott, Jake", ,jakescott/2505954,
Texas-El Paso,Retired, ,2 Seasons,"West, Joe", ,joewest/2718,
Georgia Tech,Retired, ,1 Season,"Taylor, Tom", ,tomtaylor/2527121,
Northern Illinois,Retired, ,1 Season,"Pardridge, Curt", ,curtpardridge/2522718,
Colorado,Retired, ,3 Seasons,"Young, Steve", ,steveyoung/2529583,
Nebraska,Active,Cincinnati Bengals,Rookie,"Carter, Cethan", ,cethancarter/2558929,TE
Clemson,Retired, ,10 Seasons,"Rembert, Johnny", ,johnnyrembert/2502629,
Pittsburgh,Retired, ,3 Seasons,"Richards, Curvin", ,curvinrichards/2502646,
Pittsburgh,Retired, ,1 Season,"Maczuzak, John", ,johnmaczuzak/2519939,
Duke,Retired, ,6 Seasons,"Lewis, Cliff", ,clifflewis/2519423,
Washington,Retired, ,10 Seasons,"Olson, Benji", ,benjiolson/2502361,
Kansas,Retired, ,7 Seasons,"Lawson, Steve", ,stevelawson/2519196,
Georgia,Retired, ,2 Seasons,"Thornton, Bruce", ,brucethornton/2506057,
Miami (Fla.),Retired, ,10 Seasons,"Vilma, Jonathan", ,jonathanvilma/2505973,
Fresno State,Active,Washington Redskins,7th season,"Carter, Chris", ,chriscarter/2508126,LB
Lehigh,Retired, ,2 Seasons,"Walker, Gerran", ,gerranwalker/2506775,
Stanford,Retired, ,1 Season,"Norgard, Al", ,alnorgard/2522236,
Kansas,Retired, ,5 Seasons,"Mason, Lindsey", ,lindseymason/2520293,
Texas Southern,Active,Houston Texans,Rookie,"Carter, Cory", ,corycarter/2558297,P
West Virginia,Retired, ,4 Seasons,"Baisi, Al", ,albaisi/2508861,
San Francisco,Retired, ,6 Seasons,"Scudero, Joe", ,joescudero/2525246,
Georgia Tech,Retired, ,1 Season,"Lavin, Jim", ,jimlavin/2501704,
Akron,Retired, ,1 Season,"Dean, Konrad", ,konraddean/2504860,
Sacramento State,Active,San Francisco 49ers,1st season,"Carter, DeAndre", ,deandrecarter/2553502,WR
Alabama,Retired, ,6 Seasons,"Arenas, Javier", ,javierarenas/494249,
Georgia,Retired, ,5 Seasons,"Oliver, Paul", ,pauloliver/2507312,
Miami (Fla.),Active,Denver Broncos,Rookie,"Carter, Jamal", ,jamalcarter/2559321,DB
Florida State,Retired, ,6 Seasons,"Vanover, Tamarick", ,tamarickvanover/2503453,
Pennsylvania,Retired, ,3 Seasons,"Nelson, Herb", ,herbnelson/2522025,
Nebraska,Retired, ,1 Season,"Bell, Richard", ,richardbell/2509364,
Cincinnati,Retired, ,1 Season,"Glatthaar, Bradley", ,bradleyglatthaar/2507361,
,Retired, ,,"Lewis, Franklin", ,franklinlewis/2519437,
Stanford,Retired, ,2 Seasons,"Evans, Chuck", ,chuckevans/2513731,
Syracuse,Retired, ,8 Seasons,"Nance, Jim", ,jimnance/2521944,
Buffalo,Retired, ,1 Season,"Shannon, Davonte", ,davonteshannon/2531179,
Oklahoma,Retired, ,4 Seasons,"Parks, Mickey", ,mickeyparks/2522773,
Bethany (W.V.),Retired, ,6 Seasons,"LeJean, Walt", ,waltlejean/2519333,
Penn State,Active,Minnesota Vikings,1st season,"Carter, Kyle", ,kylecarter/2556494,TE
Texas A&M,Retired, ,7 Seasons,"Sanders, Gene", ,genesanders/2524865,
Toledo,Active,Dallas Cowboys,Rookie,"Carter, Ruben", ,rubencarter/2556495,OG
Notre Dame,Retired, ,3 Seasons,"Rassas, Nick", ,nickrassas/2523767,
South Carolina,Retired, ,3 Seasons,"Urban, Alex", ,alexurban/2527804,
No College,Retired, ,1 Season,"Segal, Maury", ,maurysegal/2525287,
Texas,Retired, ,7 Seasons,"Jackson, Alfred", ,alfredjackson/2517223,
Texas,Retired, ,1 Season,"Callahan, Jim", ,jimcallahan/2510934,
Adams State,Retired, ,1 Season,"Epperson, Pat", ,patepperson/2513662,
Tampa,Retired, ,1 Season,"LaGrand, Morris", ,morrislagrand/2518979,
Texas A&M,Retired, ,4 Seasons,"Carter, Jason", ,jasoncarter/2495818,
Miami (Fla.),Retired, ,3 Seasons,"Bailey, Don", ,donbailey/2508855,
Guilford,Retired, ,1 Season,"Venuto, Sam", ,samvenuto/2527935,
Eastern Washington,Retired, ,10 Seasons,"Schulz, Kurt", ,kurtschulz/2502862,
USC,Retired, ,3 Seasons,"Lee, Zeph", ,zephlee/2519303,
UCLA,Retired, ,8 Seasons,"Allen, Jimmy", ,jimmyallen/2508378,
Southern University,Retired, ,9 Seasons,"Beauchamp, Al", ,albeauchamp/2509253,
USC,Active,Tennessee Titans,7th season,"Casey, Jurrell",99,jurrellcasey/2495476,DE
Duke,Active,Carolina Panthers,2nd season,"Cash, Jeremy",57,jeremycash/2556846,LB
British Columbia (Canada),Retired, ,1 Season,"Goltz, Rick", ,rickgoltz/2515027,
LSU,Retired, ,4 Seasons,"Andolsek, Eric", ,ericandolsek/2499438,
Redlands,Retired, ,3 Seasons,"DeRoo, Brian", ,brianderoo/2512832,
Ohio State,Retired, ,10 Seasons,"James, Tommy", ,tommyjames/2517391,
U. of Pacific,Retired, ,1 Season,"Laack, Galen", ,galenlaack/2518948,
North Carolina State,Retired, ,6 Seasons,"Abraham, Robert", ,robertabraham/2508160,
Rutgers,Retired, ,1 Season,"Hasbrouck, John", ,johnhasbrouck/2516069,
Minnesota,Retired, ,1 Season,"Carter, Michael", ,michaelcarter/2550517,
South Carolina State,Retired, ,13 Seasons,"Carson, Harry", ,harrycarson/2511167,
Los Angeles State,Retired, ,5 Seasons,"Adams, John", ,johnadams/2508212,
Montclair State,Retired, ,4 Seasons,"Knight, Leander", ,leanderknight/2518642,
Oklahoma,Retired, ,4 Seasons,"Kelly, Malcolm", ,malcolmkelly/1028,
Miami (Fla.),Retired, ,9 Seasons,"Franks, Bubba", ,bubbafranks/2504255,
Rutgers,Retired, ,10 Seasons,"Jenkins, James", ,jamesjenkins/2501383,
Wake Forest,Retired, ,7 Seasons,"Gaines, Clark", ,clarkgaines/2514539,
Florida,Retired, ,2 Seasons,"Young, Tyrone", ,tyroneyoung/2529586,
Catholic,Retired, ,2 Seasons,"Kerr, George", ,georgekerr/2518373,
Virginia,Retired, ,6 Seasons,"Schroeder, Gene", ,geneschroeder/2525113,
Arizona State,Retired, ,1 Season,"Cahoon, Victor", ,victorcahoon/2499964,
Arizona State,Retired, ,15 Seasons,"Jeffcoat, Jim", ,jimjeffcoat/2501368,
Colgate,Retired, ,1 Season,"Volgenau, Elmer", ,elmervolgenau/2528004,
Notre Dame,Retired, ,4 Seasons,"Jackson, Jarious", ,jariousjackson/2504292,
Colorado Mines,Retired, ,1 Season,"Madden, Lloyd", ,lloydmadden/2519944,
Fresno State,Retired, ,3 Seasons,"Denman, Chris", ,chrisdenman/2495594,
Baylor,Retired, ,5 Seasons,"Fletcher, Derrick", ,derrickfletcher/2500649,
UCLA,Retired, ,2 Seasons,"Zeno, Lance", ,lancezeno/2503857,
Southeastern Louisiana,Retired, ,4 Seasons,"Favron, Calvin", ,calvinfavron/2513881,
Fort Valley State,Retired, ,6 Seasons,"Zellner, Peppi", ,peppizellner/2503855,
Clemson,Retired, ,5 Seasons,"Thompson, Dave", ,davethompson/2527318,
Texas Christian,Retired, ,1 Season,"Goss, Jason", ,jasongoss/2505374,
Oklahoma,Retired, ,4 Seasons,"Tabor, Philip", ,philiptabor/2526972,
Texas,Retired, ,1 Season,"Weedon, Don", ,donweedon/2528449,
Faulkner University,Active,Oakland Raiders,Rookie,"Casher, Chris", ,chriscasher/2559064,DE
Texas Christian,Retired, ,1 Season,"Kirkpatrick, Jake", ,jakekirkpatrick/2530969,
Loyola Marymount,Retired, ,1 Season,"Elsey, Earl", ,earlelsey/2513607,
Wisconsin,Active,New York Giants,9th season,"Casillas, Jonathan",52,jonathancasillas/71249,OLB
Northern Illinois,Retired, ,0 Season,"Lee, Rob", ,roblee/2519292,
Idaho State,Retired, ,3 Seasons,"Machurek, Mike", ,mikemachurek/2519904,
East Carolina,Retired, ,3 Seasons,"Rimpf, Brian", ,brianrimpf/2506024,
Notre Dame,Retired, ,4 Seasons,"Richardson, Mike", ,mikerichardson/2507236,
Hawaii,Retired, ,11 Seasons,"McBriar, Mat", ,matmcbriar/2505268,
Brown,Retired, ,2 Seasons,"Lawrence, Ed", ,edlawrence/2519178,
Southern Mississippi,Retired, ,1 Season,"Young, Jamal", ,jamalyoung/2553788,
Houston,Retired, ,4 Seasons,"Ware, Andre", ,andreware/2503535,
Texas-El Paso,Retired, ,2 Seasons,"Evans, Jim", ,jimevans/2513740,
Northern Arizona,Retired, ,7 Seasons,"Mandley, Pete", ,petemandley/2520054,
Florida A&M,Retired, ,1 Season,"Vann, LeRoy", ,leroyvann/2527876,
Southeastern Louisiana,Retired, ,4 Seasons,"Reisz, Albie", ,albiereisz/2523953,
Washington,Retired, ,1 Season,"Abel, Fred", ,fredabel/2508153,
No College,Retired, ,2 Seasons,"LaRosa, Paul", ,paullarosa/2519096,
Tennessee,Retired, ,8 Seasons,"Weary, Fred", ,fredweary/2505063,
USC,Active,Tennessee Titans,13th season,"Cassel, Matt", ,mattcassel/2506562,QB
Lamar,Retired, ,6 Seasons,"Seale, Eugene", ,eugeneseale/2502880,
Boston College,Active,Indianapolis Colts,7th season,"Castonzo, Anthony",74,anthonycastonzo/2495137,T
Georgia,Active,Washington Redskins,Rookie,"Catalina, Tyler", ,tylercatalina/2558871,OT
Texas Christian,Retired, ,1 Season,"Gibbs, Donnie", ,donniegibbs/2514809,
Iowa,Retired, ,3 Seasons,"Youel, Jim", ,jimyouel/2529527,
Ohio State,Retired, ,2 Seasons,"Daniell, Jim", ,jimdaniell/2512436,
Clemson,Active,New York Jets,4th season,"Catanzaro, Chandler", ,chandlercatanzaro/2550325,K
Southern Methodist,Retired, ,1 Season,"Choate, Putt", ,puttchoate/2511446,
Penn State,Retired, ,1 Season,"Iorio, Joe", ,joeiorio/2505389,
Old Dominion,Retired, ,1 Season,"Mayo, Deron", ,deronmayo/2530529,
Kansas State,Retired, ,1 Season,"Epps, Jack", ,jackepps/2513666,
Central Arkansas,Retired, ,5 Seasons,"Ford, Jacob", ,jacobford/2495604,
Cincinnati,Active,Philadelphia Eagles,11th season,"Celek, Brent",87,brentcelek/2507218,TE
Michigan State,Active,San Francisco 49ers,6th season,"Celek, Garrett",88,garrettcelek/2534820,TE
Mount Union,Retired, ,3 Seasons,"Zimmerman, Corl", ,corlzimmerman/2529662,
Wisconsin,Retired, ,3 Seasons,"Ewing, Bradie", ,bradieewing/2533347,
Wisconsin,Retired, ,3 Seasons,"Calhoun, Brian", ,briancalhoun/2495817,
Indiana,Retired, ,5 Seasons,"Waiters, Van", ,vanwaiters/2503491,
Mount Union,Unsigned free agent,Tampa Bay Buccaneers,7th season,"Shorts, Cecil",10,cecilshorts/2495341,WR
LSU,Retired, ,5 Seasons,"Reynolds, M.C.", ,m.c.reynolds/2524010,
No College,Retired, ,1 Season,"Sanders, Joe", ,joesanders/2524869,
North Texas,Retired, ,3 Seasons,"Davidson, Greg", ,gregdavidson/2512499,
Prairie View A&M,Retired, ,1 Season,"Adingupu, Chris", ,chrisadingupu/2530475,
Hobart,Retired, ,1 Season,"King, Fred", ,fredking/2518498,
Minnesota,Retired, ,8 Seasons,"Manders, Jack", ,jackmanders/2520050,
Carnegie Mellon,Retired, ,2 Seasons,"Newman, Obie", ,obienewman/2522101,
Miami (Fla.),Retired, ,1 Season,"Hagens, Maurice", ,mauricehagens/2550204,
Jacksonville State,Retired, ,2 Seasons,"Perrilloux, Ryan", ,ryanperrilloux/2523037,
Georgia,Retired, ,8 Seasons,"Campbell, Marion", ,marioncampbell/2510971,
Virginia Tech,Active,Seattle Seahawks,8th season,"Chancellor, Kam",31,kamchancellor/494257,SS
San Diego State,Retired, ,2 Seasons,"Pearson, Dennis", ,dennispearson/2522931,
Mississippi State,Active,Miami Dolphins,Rookie,"Chapman, Winston", ,winstonchapman/2558331,LS
Arizona,Retired, ,2 Seasons,"Schultz, Chris", ,chrisschultz/2525133,
Georgia,Retired, ,1 Season,"Harrison, Glynn", ,glynnharrison/2516004,
Cincinnati,Retired, ,1 Season,"Pate, Lloyd", ,lloydpate/2522830,
Texas,Active,Denver Broncos,10th season,"Charles, Jamaal", ,jamaalcharles/925,RB
North Carolina State,Unsigned free agent,Miami Dolphins,12th season,"Williams, Mario",94,mariowilliams/2495982,DE
Carroll (Mont.),Retired, ,7 Seasons,"Fitzsimmons, Casey", ,caseyfitzsimmons/2505287,
South Carolina,Retired, ,7 Seasons,"Sanford, Rick", ,ricksanford/2524904,
East Tennessee State,Retired, ,1 Season,"Forney, Phil", ,philforney/2514246,
Georgia,Active,Kansas City Chiefs,3rd season,"Charles, Orson", ,orsoncharles/2533047,TE
No College,Retired, ,1 Season,"Nesser, John", ,johnnesser/2522062,
Regina (Canada),Active,Jacksonville Jaguars,5th season,"Charles, Stefan", ,stefancharles/2541925,DT
Wake Forest,Retired, ,2 Seasons,"Kissell, Ed", ,edkissell/2518574,
Michigan State,Retired, ,1 Season,"Iaquaniello, Mike", ,mikeiaquaniello/2501292,
Mississippi,Retired, ,5 Seasons,"Gilbert, Kline", ,klinegilbert/2514859,
Georgia Southern,Retired, ,2 Seasons,"Scott, Laron", ,laronscott/2535534,
Washington,Retired, ,10 Seasons,"Newsome, Vince", ,vincenewsome/2502291,
Cal Poly-S.L.O.,Unsigned free agent,Detroit Lions,4th season,"Jackson, Asa",30,asajackson/2532872,DB
Temple,Retired, ,12 Seasons,"Klecko, Joe", ,joeklecko/2518592,
Texas,Retired, ,8 Seasons,"Emerson, Ox", ,oxemerson/2513628,
City College of New York,Retired, ,1 Season,"Ilowit, Roy", ,royilowit/2517151,
Florida State,Retired, ,2 Seasons,"Ellison, 'Omar", ,omarellison/2500540,
Michigan,Active,Dallas Cowboys,Rookie,"Charlton, Taco", ,tacocharlton/2557882,DE
Boston College,Retired, ,9 Seasons,"Eisenhauer, Larry", ,larryeisenhauer/2513526,
Mississippi State,Retired, ,1 Season,"Harness, Jim", ,jimharness/2515864,
Texas Christian,Retired, ,0 Season,"Harrell, Reggie", ,reggieharrell/2515889,
Villanova,Retired, ,3 Seasons,"Pasquariello, Ralph", ,ralphpasquariello/2522819,
Texas A&M,Active,Kansas City Chiefs,1st season,"Cheek, Joseph", ,josephcheek/2556733,OG
Tennessee-Chattanooga,Retired, ,6 Seasons,"Kopcha, Joe", ,joekopcha/2518729,
Texas-El Paso,Retired, ,1 Season,"Linne, Larry", ,larrylinne/2519552,
East Central (OK),Retired, ,2 Seasons,"Kane, Herb", ,herbkane/2518123,
North Carolina State,Active,Tennessee Titans,Rookie,"Cherry, Bra'lon", ,bra'loncherry/2559322,WR
Missouri,Retired, ,1 Season,"Pettey, Phil", ,philpettey/2523122,
Minnesota,Retired, ,7 Seasons,"Neils, Steve", ,steveneils/2522002,
Texas A&M,Retired, ,5 Seasons,"Tassos, Damon", ,damontassos/2527028,
Villanova,Active,Philadelphia Eagles,1st season,"Cherry, Don", ,doncherry/2556499,LB
Michigan,Active,Kansas City Chiefs,Rookie,"Chesson, Jehu", ,jehuchesson/2557866,WR
Miami (Fla.),Active,Pittsburgh Steelers,3rd season,"Chickillo, Anthony",56,anthonychickillo/2552266,OLB
Colorado State,Retired, ,1 Season,"Opperman, Jim", ,jimopperman/2522526,
Miami (Ohio),Retired, ,6 Seasons,"Hall, Alvin", ,alvinhall/2515614,
Nebraska,Retired, ,6 Seasons,"Andrews, George", ,georgeandrews/2508550,
UCLA,Retired, ,14 Seasons,"Dalby, Dave", ,davedalby/2512404,
Midwestern State,Active,Los Angeles Rams,2nd season,"Christian, Marqui",41,marquichristian/2556277,DB
Delaware State,Retired, ,1 Season,"Caroll, Andre", ,andrecaroll/2531033,
Vanderbilt,Retired, ,2 Seasons,"Vinson, Fred", ,fredvinson/2503475,
Tulsa,Retired, ,3 Seasons,"Fairchild, Greg", ,gregfairchild/2513797,
Arizona,Retired, ,1 Season,"Davis, Jack", ,jackdavis/2512568,
Long Beach State,Retired, ,1 Season,"Newell, Steve", ,stevenewell/2522087,
Brigham Young,Retired, ,3 Seasons,"Knight, Shawn", ,shawnknight/2518647,
Oregon,Active,New England Patriots,9th season,"Chung, Patrick",23,patrickchung/71251,SS
Northern Arizona,Retired, ,4 Seasons,"Ernster, Paul", ,paulernster/2506571,
Tennessee State,Retired, ,3 Seasons,"Davis, Rosey", ,roseydavis/2512626,
Southern Methodist,Retired, ,12 Seasons,"Schoenke, Ray", ,rayschoenke/2525095,
Toledo,Active,Jacksonville Jaguars,8th season,"Church, Barry", ,barrychurch/494259,SS
Unknown,Retired, ,1 Season,"Erickson, Swede", ,swedeerickson/2513684,
Notre Dame,Retired, ,10 Seasons,"Taylor, Bobby", ,bobbytaylor/2503252,
Rutgers,Active,Oakland Raiders,Rookie,"Cioffi, Anthony", ,anthonycioffi/2558930,DB
Minnesota,Retired, ,11 Seasons,"Carter, Tyrone", ,tyronecarter/2504163,
